資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1321,3,328,2682369,1.18
20260731,1321,4,156,2024064,0.89
20260731,1321,5,104,1925310,0.84
20260731,1321,6,121,3127612,1.37
20260731,1321,7,65,2364648,1.04
20260731,1321,8,48,2222608,0.97
20260731,1321,9,129,9657856,4.25
20260731,1321,10,128,18439688,8.11
20260731,1321,11,79,21801619,9.59
20260731,1321,12,31,15499892,6.82
20260731,1321,13,11,7693855,3.38
20260731,1321,14,17,15246773,6.7
20260731,1321,15,34,121130007,53.3
20260731,1321,16,4004,227228268,100.0
20260731,1323,1,10767,382331,0.41
20260731,1323,2,2214,4572955,5.01
20260731,1323,3,383,2944501,3.22
20260731,1323,4,120,1508835,1.65
20260731,1323,5,75,1376215,1.5
20260731,1323,6,63,1596925,1.74
20260731,1323,7,40,1403004,1.53
20260731,1323,8,26,1180768,1.29
20260731,1323,9,71,4917086,5.38
20260731,1323,10,23,3212457,3.51
20260731,1323,11,14,3760078,4.11
20260731,1323,12,4,2060289,2.25
20260731,1323,13,7,4925642,5.39
20260731,1323,14,2,1638404,1.79
20260731,1323,15,23,55795064,61.12
20260731,1323,16,13832,91274554,100.0
20260731,1324,1,19077,1178298,1.56
20260731,1324,2,3525,7318249,9.74
20260731,1324,3,521,3976794,5.29
20260731,1324,4,116,1485743,1.97
20260731,1324,5,71,1330151,1.77
20260731,1324,6,75,1959246,2.6
20260731,1324,7,21,735415,0.97
20260731,1324,8,19,871651,1.16
20260731,1324,9,44,3114085,4.14
20260731,1324,10,14,1910284,2.54
20260731,1324,11,5,1528027,2.03
20260731,1324,12,4,1826615,2.43
20260731,1324,13,2,1325200,1.76
20260731,1324,14,1,972119,1.29
20260731,1324,15,13,45590005,60.68
20260731,1324,16,23508,75121882,100.0
20260731,1325,1,26276,411020,0.48
20260731,1325,2,8395,16222705,19.02
20260731,1325,3,852,6824344,8.0
20260731,1325,4,231,3006462,3.52
20260731,1325,5,133,2499460,2.93
20260731,1325,6,107,2756223,3.23
20260731,1325,7,61,2194788,2.57
20260731,1325,8,26,1180747,1.38
20260731,1325,9,55,3953725,4.63
20260731,1325,10,23,3099410,3.63
20260731,1325,11,7,1812000,2.12
20260731,1325,12,3,1463000,1.71
